"(u'Exception occurred while attempting to GET: https://10.120.12.214/rest/appliance/nodeinfo/version', ConnectionError(MaxRetryError",environment issue
Dictionary does not contain key 'count'.,automation issue
"1) KeyError: 'enclosureUris'

2) Verify LogicalEnclosureV5 LE_DCS failed

3) Interconnect 0000A66101, interconnect 2 is not in Configured State

4) Interconnect 0000A66102, interconnect 2 is not in Configured State

5) Interconnect 0000A66101, interconnect 3 is not in Configured State

6) Interconnect 0000A66101, interconnect 5 is not in Configured State

7) Interconnect 0000A66102, interconnect 6 is not in Configured State

8) Interconnect 0000A66101, interconnect 6 is not in Configured State

9) Interconnect 0000A66102, interconnect 3 is not in Configured State

10) 7 != 0",automation issue
KeyError: 'members',automation issue
'False' should be true.,environment issue
'Error' does not match 'Completed',environment issue
Error in email message removal operation. Exception: -ERR Message corrupted,environment issue
"Could not deploy new VM MANIFEST
+ <ManifestValidate valid=""false""/>

PROGRESS


ERROR
+ <Errors>
+ <Error>
+ <Type>ovftool.http.size.mismatch</Type>
+ <LocalizedMsg>
+ Size mismatch during data transfer; expect 1030962 bytes to read but 1992657408 bytes are pending to read. Source file may be corrupted
+ </LocalizedMsg>
+ <Arg>
+ 1030962
+ </Arg>
+ <Arg>
+ 1992657408
+ </Arg>
+ </Error>
+ </Errors>

RESULT
+ ERROR
",environment issue
Replacing variables from keyword return value failed: Variable '${member}' not found,automation issue
"(u'Exception occurred while attempting to GET: https://10.120.12.217/rest/appliance/nodeinfo/version', ExecutionFailed('Execution terminated by signal',))",environment issue
Editing the Connection in SPT is failed,product issue
Test execution stopped due to a fatal error.,environment issue
Invalid 'Return From Keyword' usage.,automation issue
Not all forked tasks state finished with Completed...,automation issue
"1) Critical/Active alerts exist.

2) Unlinked != Linked

3) Critical != OK

4) Unlinked != Linked

5) Critical != OK

6) Unlinked != Linked

7) Critical != OK

8) Unlinked != Linked

9) Critical != OK",environment issue
Failed to establish communication.,environment issue
"Multiple keywords with name 'Deepcopy' found. Give the full name of the keyword you want to use:
    copy.Deepcopy
    logical_interconnect.Deepcopy",automation issue
"1) Validate Enclosure EnclosureF1 failed

2) Validate Enclosure EnclosureF2 failed",environment issue
"1) Verify ServerProfileV12 Server_profile_enc1_3 failed

2) Verify ServerProfileV12 Server_profile_enc1_4 failed

3) Verify ServerProfileV12 Server_profile_enc1_6 failed

4) Verify ServerProfileV12 Server_profile_enc1_7 failed

5) Verify ServerProfileV12 Server_profile_enc1_8 failed

6) Verify ServerProfileV12 Server_profile_enc1_9 failed

7) Verify ServerProfileV12 Server_profile_enc1_10 failed",environment issue
Traps validation failed,environment issue
No keyword with name 'Get OVA Build' found.,automation issue
No IP address returned from vSphere,environment issue
HTTPConflict: Conflict (HTTP 409) 34 - resource in use,environment issue
Test execution stopped due to a fatal error.,environment issue
Error in email message removal operation. Exception: -ERR Message corrupted,environment issue
"Could not deploy new VM ERROR
+ <Errors>
+ <Error>
+ <Type>ovftool.http.open</Type>
+ <LocalizedMsg>
+ Could not open URL http://ci-artifacts04.vse.rdlabs.hpecorp.net/omni/rel/5.40/OVA/SSH/HPEOneView-SSH_5.50.00-0425812_PASS23.ova (response code: 404)
+ </LocalizedMsg>
+ <Arg>
+ http://ci-artifacts04.vse.rdlabs.hpecorp.net/omni/rel/5.40/OVA/SSH/HPEOneView-SSH_5.50.00-0425812_PASS23.ova
+ </Arg>
+ <Arg>
+ 404
+ </Arg>
+ </Error>
+ </Errors>

RESULT
+ ERROR
",environment issue
Firmware bundles are not retained after OV upgrade,product issue
"Parent suite teardown failed:
IndexError: list index out of range",automation issue
Several failures occurred:1) Maximum limit of started keywords exceeded.,automation issue
Task resource name [Enclosure1] Expected Completed but found Warning ,environment issue
TypeError: 'dict' object is not callable,automation issue
Variable '${ov_update_version}' not found.,automation issue
Variable '${upgrade_end_time}' not found.,automation issue
"Drive Enclosure name [Enclosure1, bay 1] Expected status OK but found Warning",environment issue
Resolving variable '@{enclosures['members']}' failed,automation issue
Dictionary does not contain key 'eTag'.,automation issue
UnboundLocalError: local variable 'rc' referenced before assignment,automation issue
Keyword 'Get VM original_centos_c7k2_enc1 IP Address' failed,automation issue
Keyword 'Host In Cluster Should Be In Connected State' failed,automation issue
